country,country_short,party_short,wave,party_name_english,party_name_original,family,family_label,poppa_id,partyfacts_id,n_experts,mean_n_experts,manichean,indivisible,generalwill,peoplecentrism,antielitism,peopleimm,peoplewealthy,elitepol,elitemedia,eliteecon,elitecult,lrecon,salienceecon,immigration,nativism,lifestyle,laworder,saliencecult,lroverall,eu,climatepolicy,climatescience,complex,emotional,intradem,personalised,populism_mean,populism_cfa,populism_cfa_rescaled
Austria,AUT,SPÖ,Wave 1 - 2018,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,5,Social Democratic,101,1384,13,12.9375,3.6666667,3.7692308,3.6923077,3.6923077,3.2307692,NA,NA,NA,NA,NA,NA,2.9230769,NA,5.4615383,2.4615386,7.3846154,3.3846154,NA,3.5384614,8.076923,NA,NA,6.4615383,4.8461537,6.3076925,6.230769,3.6102564200000002,-1.2371901057941148,3.230987936077509
Austria,AUT,SPÖ,Wave 2 - 2023,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,5,Social Democratic,101,1384,14,12.6,1.9166666666666667,1.9166666666666667,1.75,2.3846153846153846,2.230769230769231,6.846153846153846,4.333333333333333,4.538461538461538,5.166666666666667,6.3,5.454545454545454,3.076923076923077,8,5.6923076923076925,2.5384615384615383,6.923076923076923,4,5,3.3846153846153846,7.076923076923077,5.153846153846154,6.846153846153846,NA,NA,NA,NA,2.0397435897435896,-2.7705609436373564,1.0769319913789197
Austria,AUT,ÖVP,Wave 1 - 2018,Austrian People's Party,Österreichische Volkspartei,4,Christian Democratic,102,1329,13,12.9375,5.5833335,5,5.076923,4.076923,3.7692308,NA,NA,NA,NA,NA,NA,7.6153846,NA,2.0769231,6.5384617,2.9230769,7,NA,7.3076925,6.3076925,NA,NA,4.7692310000000004,6.7692310000000004,4.5384617,8.5384620000000009,4.70128206,-0.13209892438182008,4.783403157501262
Austria,AUT,ÖVP,Wave 2 - 2023,Austrian People's Party,Österreichische Volkspartei,4,Christian Democratic,102,1329,14,12.56,2.75,2.75,2.3333333333333335,3.076923076923077,2.3076923076923075,4.153846153846154,7.416666666666667,5.461538461538462,5.416666666666667,4.6,5.909090909090909,6.769230769230769,8.153846153846153,3.5384615384615383,5.769230769230769,2.769230769230769,7.153846153846154,6.3076923076923075,7.076923076923077,5.769230769230769,3.5384615384615383,5.833333333333333,NA,NA,NA,NA,2.6435897435897435,-2.1194702898830995,1.9915742022805634
Austria,AUT,FPÖ,Wave 1 - 2018,Freedom Party of Austria,Freiheitliche Partei Österreichs,1,Radical Right,103,463,13,12.875,7.9166665,8.384615,8.461538,8.5384620000000009,8.583333,NA,NA,NA,NA,NA,NA,6.230769,NA,0.3846154,9.307693,2.3076923,9.153846,NA,8.5384620000000009,1.5384616,NA,NA,1.6923077,8.769231,2.6153846,8.615385,8.3769229,2.8507822628835267,8.973709112971228
Austria,AUT,FPÖ,Wave 2 - 2023,Freedom Party of Austria,Freiheitliche Partei Österreichs,1,Radical Right,103,463,14,12.64,8.666666666666666,8.583333333333334,8.5,9.23076923076923,9.23076923076923,1.0769230769230769,4.75,7,6.384615384615385,6.888888888888889,8.166666666666666,5.923076923076923,5.230769230769231,1.3076923076923077,9.538461538461538,2,8.692307692307692,8.692307692307692,9,1.7692307692307692,0.8461538461538461,0.8461538461538461,NA,NA,NA,NA,8.842307692307692,3.2353836129663556,9.51399121827739
Austria,AUT,Grüne,Wave 1 - 2018,The Greens,Die Grünen,7,Green,104,1659,13,12.9375,4.1666665,1.9230769,2.3076923,3.7692308,3.5384614,NA,NA,NA,NA,NA,NA,2.6153846,NA,8.076923,0.6923077,8.384615,1.3076923,NA,2.6923077,8.769231,NA,NA,7,4.6153846,8.153846,3.1538463,3.14102558,-1.6534593900180043,2.6462192003298664
Austria,AUT,Grüne,Wave 2 - 2023,The Greens,Die Grünen,7,Green,104,1659,14,12.44,2.4166666666666665,1.1666666666666667,1.0833333333333333,2.5384615384615383,1.8461538461538463,9.384615384615385,4.090909090909091,4.166666666666667,5.25,5.7,5.4,3.076923076923077,5.166666666666667,8,0.6923076923076923,9.307692307692308,1.6923076923076923,7.538461538461538,2.4615384615384617,8.461538461538462,9.461538461538462,9.692307692307692,NA,NA,NA,NA,1.8102564102564103,-2.8352834710056025,0.9860107729803862
Austria,AUT,NEOS,Wave 1 - 2018,The New Austria,NEOS - Das Neue Österreich und Liberales Forum,3,Liberal,105,1970,13,12.875,3.5833333,1.9230769,2.3846154,3.6923077,3.5384614,NA,NA,NA,NA,NA,NA,7.4615383,NA,6.076923,1.9230769,8.153846,1.6153846,NA,6,9.230769,NA,NA,6,4.3846154,7.6666665,6.3076925,3.02435894,-1.7983401605991938,2.4426929055544417
Austria,AUT,NEOS,Wave 2 - 2023,The New Austria,NEOS - Das Neue Österreich und Liberales Forum,3,Liberal,105,1970,14,11.76,1.2727272727272727,0.7272727272727273,0.6363636363636364,1.75,1.8333333333333333,8.692307692307692,7.909090909090909,5.25,5.166666666666667,4.2,5.4,7.6923076923076925,8.5,7.5,1.1666666666666667,9.416666666666666,2.25,5.666666666666667,5.833333333333333,8.75,6.083333333333333,8.416666666666666,NA,NA,NA,NA,1.243939393939394,-3.537178038232804,0
